Region,Year,Crop,Area_Harvested (ha),Yield_per_ha (tons),Total_Production (tons),Avg_Rainfall_mm,Avg_Temperature_C,Soil_pH,Fertilizer_Used_kg,Pest_Incidents
South,2022,Barley,484.16,5.51,2667.72,205.7,30.3,5.65,167.8,17
East,2022,Corn,452.56,3.55,1606.59,131.6,26.6,6,142.3,3
North,2020,Corn,517.84,4.3,2226.71,186,16.3,6.13,130.2,14
North,2021,Corn,168.6,5.99,1009.91,154.4,15.8,6.4,117.2,1
East,2020,Rice,597.85,1.73,1034.28,247.2,19.3,6.55,155.3,6
South,2021,Corn,395.83,4.68,1852.48,384.9,20.7,6.95,154.8,11
East,2020,Rice,209.28,1.69,353.68,198.4,23.1,7.3,113.7,16
East,2023,Rice,519.63,5.19,2696.88,283.6,16.5,6.43,85.1,8
West,2023,Corn,103.05,3.98,410.14,367.5,29.5,6.99,176.2,9
East,2022,Corn,461.61,5.69,2626.56,289,29.2,5.75,74.7,1
North,2023,Barley,195.16,5.33,1040.2,208.7,21.9,6.16,130.1,6
East,2022,Barley,121.86,1.37,166.95,397.3,26.3,5.74,153.9,17
North,2021,Rice,842.03,1.69,1423.03,156.2,17,6.88,145.8,5
North,2023,Barley,924.62,4.01,3707.73,257,23.3,7.32,142.8,18
North,2021,Rice,286.91,3.59,1030.01,339,32.2,7.28,149.4,16
South,2020,Wheat,585.37,1.84,1077.08,100.2,28.2,6.15,181.3,12
West,2021,Rice,350.16,1.65,577.76,310.6,17.1,5.97,104.8,3
North,2020,Rice,544.22,3.82,2078.92,179.9,32,6.05,144.1,14
North,2021,Barley,492.97,1.24,611.28,150.9,28.6,6.07,154.5,1
South,2021,Wheat,342.15,5.37,1837.35,182.3,24.1,5.66,138.5,0
North,2023,Soybean,730.35,5.04,3680.96,390,28.8,5.77,185.5,15
East,2021,Soybean,213.84,4.93,1054.23,367.6,18.5,5.93,148.2,7
East,2023,Soybean,147.77,1.08,159.59,164.1,26,5.52,113.7,6
West,2023,Wheat,790.91,1.24,980.73,135.1,27.4,5.59,176.8,4
North,2022,Corn,699.34,3.75,2622.52,209.2,33.6,6.9,123.4,19
South,2022,Wheat,548.67,5.97,3275.56,277.7,16.3,6.74,129.5,1
East,2020,Barley,521.01,2.71,1411.94,360.1,22.5,7.39,137.3,4
South,2021,Rice,547.67,2.72,1489.66,389.8,33.7,6.3,98.4,9
South,2020,Rice,493.32,1.67,823.84,325.3,19.3,6.39,158.4,13
East,2021,Barley,453.6,4.37,1982.23,279.7,31.3,5.64,64.7,1
South,2022,Barley,549.72,4.23,2325.32,142.7,15,5.8,180.3,18
East,2022,Rice,575.66,1.51,869.25,122.2,15.5,6.88,163.2,4
South,2021,Corn,722.71,3.34,2413.85,278.8,21.6,5.97,103,4
East,2021,Corn,740.09,4.34,3211.99,261.7,30.4,7.05,84,4
North,2022,Corn,439.87,3.47,1526.35,353.8,17.1,6.91,108.2,5
West,2022,Barley,472.19,4.37,2063.47,196.8,22.7,6.99,170.8,16
East,2020,Rice,436.33,5.08,2216.56,111.9,17.6,6.88,54.7,13
East,2022,Rice,582.88,4.43,2582.16,227.1,19.5,6.92,120.2,3
West,2021,Rice,508.02,4.08,2072.72,390.8,25.1,6.59,88.1,17
East,2020,Wheat,900.64,5.27,4746.37,338.7,21.4,6.86,181.2,17
East,2021,Wheat,726.73,5.5,3997.02,110.1,19.2,6.55,112.1,10
South,2023,Soybean,908.79,2.94,2671.84,362.4,22.9,5.91,154.7,16
West,2020,Wheat,738.22,1.87,1380.47,241.5,29,5.94,103.7,13
North,2021,Corn,973.89,5.09,4957.1,209.4,17.4,6.31,99.5,5
East,2022,Corn,672.16,2.07,1391.37,204,24.6,5.53,98.9,18
West,2023,Corn,967.2,5.64,5455.01,278.5,20.5,7.28,151.7,17
South,2021,Corn,242.35,1.11,269.01,259.2,22.6,6.04,194.6,7
North,2020,Soybean,147.23,5.61,825.96,297,31.4,5.6,81.2,4
West,2021,Corn,621.21,3.95,2453.78,272.1,33.6,6.35,146.6,15
North,2023,Barley,985.14,4.87,4797.63,143.2,19.9,7.13,89.8,12
North,2020,Barley,475.84,2.99,1422.76,177.2,27.6,6.29,132.4,14
North,2023,Barley,290.84,5.96,1733.41,352.3,28.5,6.03,131.2,0
East,2021,Wheat,569.39,2.14,1218.49,299,31.8,6.59,117.5,0
East,2022,Rice,683.92,2.32,1586.69,234.5,33,6.65,124.8,1
South,2022,Soybean,383.66,1.26,483.41,154.8,24.4,7.02,182,18
South,2021,Barley,743.29,5.7,4236.75,102.3,34.7,7.1,63.3,1
West,2021,Barley,977.6,3.28,3206.53,193.6,34.4,6.91,174.5,15
South,2021,Corn,907.27,4.37,3964.77,116.5,25.1,5.51,119.3,1
North,2020,Barley,362.43,4.44,1609.19,244.7,25.8,5.5,100,6
North,2023,Corn,394.05,5.37,2116.05,346.5,28.4,7.45,76.6,0
East,2023,Corn,434.39,4.32,1876.56,185.6,22.5,6.03,172.2,0
North,2023,Rice,455.1,3.81,1733.93,354.3,28.2,6.06,138.8,17
West,2021,Wheat,190.29,4.55,865.82,311.4,25.3,6.96,159.3,17
North,2023,Corn,785.77,4.75,3732.41,137.6,15.7,6.66,97.2,15
North,2021,Corn,428.81,1.93,827.6,293.4,32.1,6.43,108.9,0
West,2020,Rice,891.84,1.55,1382.35,145.5,33.8,5.73,187,11
South,2022,Corn,934.25,1.37,1279.92,296.4,15.5,5.66,194.2,10
South,2021,Soybean,121.99,2.87,350.11,142.8,30.8,6.91,161,8
West,2021,Wheat,989.65,3.49,3453.88,217.8,22.7,5.75,162.4,9
East,2022,Soybean,739.02,4.08,3015.2,270,26.7,6.37,154.2,10
North,2022,Barley,568.35,5.79,3290.75,115.1,25,6.97,138.1,12
West,2020,Wheat,450.57,2.65,1194.01,146,26,7.35,139.3,11
North,2023,Barley,566.67,4.8,2720.02,196.1,24.9,7.25,194.6,5
East,2021,Corn,392.16,3.66,1435.31,238.7,32.1,7.23,162.6,13
North,2023,Rice,660.42,2.1,1386.88,357.5,28.7,6.22,148.3,5
West,2021,Soybean,183.68,4.08,749.41,156.2,23.3,7.35,78.4,11
North,2020,Barley,659.01,5.84,3848.62,204.2,28.8,6.87,196.6,17
South,2022,Corn,347.81,1.62,563.45,242.7,34.3,7.27,128,19
East,2020,Soybean,115.87,3.54,410.18,188.7,16.6,5.68,191.6,10
East,2022,Soybean,597.44,1.26,752.77,287.7,22.8,5.58,157,1
East,2023,Barley,620.6,2.61,1619.77,177,32.4,6.36,56,11
West,2023,Corn,483.91,4.1,1984.03,331.7,29.8,7.16,130.8,14
East,2020,Rice,165.06,5.21,859.96,251.5,33.7,6.32,183.9,5
South,2022,Barley,904.01,4.65,4203.65,125.9,15.8,7.27,57.8,4
West,2020,Soybean,650.29,3.31,2152.46,288.1,32.3,5.97,180,14
South,2022,Soybean,204.14,5.55,1132.98,270.8,30.8,5.58,142,10
North,2022,Wheat,559.84,2.51,1405.2,201.6,31.3,7.02,56.7,14
North,2023,Corn,547.53,4.77,2611.72,103.3,26.9,6.75,106,18
North,2023,Wheat,154.36,3.37,520.19,160.2,16,6.38,54.5,0
North,2022,Rice,646.17,5.49,3547.47,221.7,25.8,7.19,50.3,4
South,2022,Barley,827.49,4.99,4129.18,160,23.2,7.15,184.5,3
West,2022,Soybean,774.11,5.51,4265.35,273.2,25.5,6.15,162.3,8
West,2023,Corn,282.67,2.07,585.13,313.7,29.8,7.18,93.4,5
East,2023,Soybean,876.06,4.34,3802.1,356.8,26.9,6.19,67.1,10
South,2021,Wheat,408.29,4.69,1914.88,294.1,20.9,6.74,58.2,2
North,2022,Wheat,951.86,4.71,4483.26,306.7,27,5.88,187.6,8
South,2021,Barley,164.57,3.52,579.29,282.5,16.7,6.03,143.8,10
East,2022,Corn,537.59,1.06,569.85,395.6,15.1,6.4,74.1,8
East,2023,Corn,637.41,2.31,1472.42,178.3,23,6.13,152.2,0
South,2021,Barley,322.89,2.62,845.97,179.9,30.1,5.76,199.8,12
South,2021,Wheat,794.24,5.26,4177.7,137.9,31.5,6.46,168.2,0
South,2020,Wheat,664.21,5.2,3453.89,245.7,26,6.52,117,17
West,2022,Wheat,116.3,1.52,176.78,128.8,32.4,5.82,172.1,10
North,2023,Soybean,647.53,5.75,3723.3,181,17.5,5.85,161.6,14
South,2020,Rice,542.33,1.91,1035.85,244.8,34.3,5.56,63.3,15
South,2020,Wheat,276.43,3.07,848.64,387.3,33.4,5.56,188.9,0
South,2022,Rice,996.17,2.08,2072.03,389.1,27,6.22,182.6,10
East,2020,Rice,907.45,5.3,4809.48,323.1,16.2,5.79,138.6,5
East,2022,Corn,363.26,4.75,1725.48,216.8,24.1,7.34,126.2,11
West,2020,Barley,586.96,2.77,1625.88,359.5,18.6,5.9,84.2,18
North,2022,Soybean,384.85,4.41,1697.19,362.6,27.6,5.63,175.2,0
West,2023,Rice,797.95,1.92,1532.06,373.1,18.8,6.31,114.8,1
North,2022,Soybean,937.3,2.91,2727.54,292,24.6,5.88,136.9,19
East,2022,Corn,422.95,2.89,1222.33,160.5,19.1,5.62,75.5,11
East,2021,Wheat,825.03,2.19,1806.82,127.3,18.6,7.01,82.1,0
East,2023,Rice,548.57,5.38,2951.31,374.4,20,6.61,197.8,6
West,2023,Barley,456.92,4.39,2005.88,116.7,15.6,5.61,124.1,9
South,2023,Corn,944.58,2.4,2266.99,188.8,29.3,6.44,172.4,15
South,2020,Soybean,559.36,2.21,1236.19,246.1,21.1,5.58,174.5,14
East,2021,Wheat,520.67,1.09,567.53,106.6,29,6.21,197.2,8
South,2023,Soybean,705.19,2.73,1925.17,372.1,28.1,6.23,197.4,13
South,2020,Barley,335.11,3.63,1216.45,186.1,16.3,7.15,118.5,3
West,2020,Rice,392.31,2.39,937.62,108.6,21.2,6.97,192.5,5
North,2020,Barley,938.84,4.5,4224.78,398.1,26.3,7.29,104.8,14
East,2021,Soybean,710.68,3.06,2174.68,193.4,33.4,5.78,141.1,7
East,2020,Soybean,843.97,2.58,2177.44,363,23,6.57,173.3,9
West,2021,Barley,344,5.7,1960.8,236,25.1,5.54,187.1,6
West,2022,Barley,589.41,2.31,1361.54,298.9,30,7.15,128.6,16
South,2020,Barley,974.26,2.99,2913.04,172.3,31.1,6.23,112.7,12
East,2023,Wheat,386.83,2.91,1125.68,250.9,33.5,5.64,159.3,7
North,2020,Soybean,244.43,2.21,540.19,177.3,24.9,6.15,118.4,10
West,2022,Corn,559.8,2.09,1169.98,385.3,18.9,6.07,150.8,0
North,2022,Wheat,449.04,2.51,1127.09,118.3,30.3,7.03,170.6,5
North,2020,Wheat,243.62,5.32,1296.06,182.4,17.5,5.75,176.2,5
East,2022,Wheat,899.7,4.84,4354.55,367.9,23.4,6.61,88.1,8
East,2021,Corn,991.65,4.4,4363.26,244,27.6,7.09,135.7,1
West,2021,Barley,611.72,3.29,2012.56,280,28.8,6.98,53.8,16
East,2020,Soybean,797.21,3.54,2822.12,295.5,29.7,7.37,169.7,1
East,2021,Rice,873.13,2.34,2043.12,121.3,18.9,5.5,68.8,6
East,2021,Rice,730.88,1.37,1001.31,105.3,34.6,6.21,180.8,18
North,2023,Soybean,139.74,2.66,371.71,381.4,18.6,6.24,111,19
West,2020,Corn,241.87,3.48,841.71,181.5,16.9,5.57,75.1,2
South,2022,Rice,163.89,1.29,211.42,214.1,28.3,7.13,169.4,10
North,2020,Wheat,108.89,1.44,156.8,304.6,33.2,6.88,80,12
East,2021,Rice,375.4,2.32,870.93,170.9,26.2,6.56,109.2,15
North,2023,Soybean,453.12,2.84,1286.86,319.9,26.9,6.31,135,8
East,2020,Wheat,316.93,2.97,941.28,237.5,25.8,7.29,104,18
East,2020,Rice,158.14,1.59,251.44,357,15.9,6.03,76.9,11
North,2021,Soybean,576.88,2.13,1228.75,183.6,28.6,6.17,110.9,15
West,2021,Corn,345.99,2.31,799.24,161.1,22.2,7.41,71.6,5
East,2020,Soybean,816.43,1.34,1094.02,349.5,33.7,5.63,157.9,4
West,2021,Corn,107.25,2.63,282.07,197.9,18.7,7.06,75.7,4
South,2021,Wheat,858.27,1.36,1167.25,223.6,21,6.94,122.4,10
East,2021,Soybean,959.28,4.52,4335.95,338.1,25.1,7.3,134.1,13
West,2021,Barley,744.52,2.93,2181.44,290.7,24.5,5.68,191.8,13
West,2021,Barley,760.28,2.63,1999.54,232.5,23,7.44,61.7,8
South,2023,Barley,940.21,1.63,1532.54,175,21.3,5.56,189.6,7
West,2021,Barley,288.16,2.13,613.78,329.3,17.9,6.18,81.2,10
West,2022,Barley,995.11,2.16,2149.44,154.1,31.4,5.67,176.1,9
South,2020,Corn,796.13,5.93,4721.05,378.5,24,5.6,63.6,18
East,2023,Soybean,753.91,5.18,3905.25,145.1,26.5,7.43,198.3,19
West,2023,Wheat,424.98,1.08,458.98,341.5,25.9,6.94,171.1,15
West,2021,Barley,591.2,4.08,2412.1,227.3,26.5,6.51,59.4,4
West,2020,Barley,688.53,2.28,1569.85,155.8,29.1,5.72,82.1,5
North,2022,Wheat,658.31,1.52,1000.63,220.7,27.6,6.55,132.3,10
South,2021,Wheat,734.49,4.53,3327.24,166.5,20.5,6.14,128.5,10
North,2020,Barley,174.14,1.66,289.07,140.8,26.1,6.04,144.4,15
South,2021,Corn,420.08,3.22,1352.66,171.7,19.9,6.74,119.5,7
East,2021,Wheat,490.6,4.16,2040.9,360.2,26.8,7.08,160.1,18
East,2021,Soybean,334.57,3.77,1261.33,131.8,23.6,6.39,102.3,0
West,2021,Soybean,255.36,5.89,1504.07,391.8,15.8,6.49,76.5,8
South,2021,Corn,225.03,4.93,1109.4,101.5,29.7,6.8,55.1,13
East,2021,Rice,429.75,4.87,2092.88,297.5,20.5,5.75,98.7,19
South,2021,Corn,544.1,2.78,1512.6,357,33.4,7.16,114,2
East,2022,Barley,156.68,1.04,162.95,380.2,20.6,7.17,148.9,4
North,2023,Rice,951.81,4.67,4444.95,143.2,34.9,6.58,171,1
East,2022,Barley,788.72,6,4732.32,309.5,24.3,5.88,86,17
North,2021,Soybean,757.77,3.03,2296.04,132.2,15.5,6.5,124,12
East,2021,Wheat,255.57,5.93,1515.53,205.8,16.5,5.71,85.1,3
West,2022,Barley,643.42,1.71,1100.25,319.6,16.6,7.03,192.7,16
North,2022,Soybean,576.75,2.48,1430.34,203.8,16.1,6.12,147.1,13
East,2023,Corn,984.22,1.85,1820.81,194,20.4,6.12,151.7,11
West,2022,Barley,772.9,3.38,2612.4,134.8,21.5,7.39,129.7,9
North,2023,Soybean,618.19,4.98,3078.59,119.9,17.2,6.34,92.3,14
West,2021,Wheat,865.73,2.7,2337.47,134.6,23.8,7.08,80.1,6
South,2020,Barley,239.58,5.53,1324.88,362.6,22.3,6.77,148.5,2
South,2020,Soybean,113.69,3.72,422.93,103.4,27.7,6.13,188.3,19
North,2020,Barley,721.21,3.33,2401.63,307.9,18.9,5.75,81.9,10
East,2020,Wheat,188.48,4.94,931.09,330.6,33.3,7.1,135.8,12
North,2021,Barley,203.89,1.51,307.87,270.4,25.3,7.03,129.4,2
West,2020,Barley,770.21,4.87,3750.92,319.2,27.5,5.84,146.2,12
East,2022,Soybean,343.48,2.21,759.09,295.7,15.8,6,138.2,7
South,2022,Rice,665.77,2.4,1597.85,236.7,26.2,7.03,90.9,8
East,2020,Barley,925.67,4,3702.68,214.8,22.4,7.47,153.7,6
South,2022,Rice,384.83,5.51,2120.41,382.4,33.5,7.19,90.9,7
East,2023,Corn,295.43,3.89,1149.22,391.6,32.7,6.87,147.9,13
East,2021,Barley,195.91,4.24,830.66,295.4,27.8,7.33,95,17
East,2020,Rice,217.42,4.88,1061.01,159.2,30.4,6.07,62.4,9
West,2020,Corn,156,2.3,358.8,234.4,27.9,5.52,69.1,2
West,2021,Soybean,178.88,5.14,919.44,249,15.3,6.14,175.1,15
North,2022,Barley,488.8,3.09,1510.39,327.4,29.1,7.44,68.2,14
North,2021,Soybean,388.78,1.88,730.91,300.3,18.5,7.26,99.6,12
South,2021,Corn,735.9,2.75,2023.72,254.4,28.7,5.6,93.1,3
West,2022,Soybean,883.22,2.23,1969.58,304.1,15.2,6.5,58.7,15
South,2021,Soybean,806.3,2.14,1725.48,107.2,21.2,5.66,139.9,17
North,2022,Wheat,577.57,2.41,1391.94,333,25.3,7.08,169.8,18
South,2022,Corn,192.2,1.9,365.18,163.5,21.7,6.25,198.8,15
North,2021,Soybean,738.79,4.34,3206.35,296.9,28.9,7.32,190.4,11
West,2023,Rice,426.55,3.9,1663.54,134.2,25.5,5.61,57.4,1
East,2022,Corn,177.09,4.24,750.86,134.3,34.2,6.97,88.6,7
West,2021,Wheat,858.22,2.72,2334.36,110.7,22.2,6.3,111.8,10
South,2022,Barley,404.39,4.85,1961.29,373.1,29.4,6.04,181.3,11
South,2023,Soybean,296.42,1.65,489.09,281.4,31.7,6.53,104,5
West,2023,Rice,884.31,3.86,3413.44,208.6,20.1,6.47,135.5,15
West,2020,Wheat,911.92,2.38,2170.37,336.3,30.1,6.2,148.9,4
North,2022,Corn,405.07,3.64,1474.45,287.8,22.9,6.8,94.7,9
South,2022,Soybean,419.32,2.62,1098.62,286,17.6,6.82,137.3,4
South,2021,Wheat,621.67,4.95,3077.27,246.1,15.1,5.65,57.6,17
West,2022,Wheat,760.1,5.46,4150.15,102.4,29.9,6.69,122,1
East,2020,Rice,156.83,4.71,738.67,177.5,18.7,6.92,106.8,13
South,2023,Barley,634.01,1.88,1191.94,132.7,16,5.65,103.4,6
East,2023,Barley,957.54,2.37,2269.37,298.7,24.9,6.82,85.2,7
West,2020,Barley,335.88,5.6,1880.93,174.6,21.9,7.11,172.7,3
West,2022,Corn,917.94,3.19,2928.23,235,28.8,7.16,182.3,4
North,2022,Wheat,955.15,5.71,5453.91,206,17.1,5.58,183.2,16
South,2020,Corn,342.24,2.96,1013.03,143,17.7,6.89,109.4,5
East,2021,Wheat,778.78,5.76,4485.77,387.5,23.1,7.09,88.9,0
North,2023,Rice,314.9,5.63,1772.89,380,25.4,6.29,64.8,2
South,2020,Rice,763.85,4.3,3284.56,125.4,31.5,6.59,150.9,9
North,2020,Corn,817.68,1.04,850.39,348.2,26.7,6.03,99.5,12
West,2022,Corn,322.49,3,967.47,246.5,33.1,6.12,91.5,18
South,2023,Rice,744.28,5.56,4138.2,332.1,19.4,6.5,105.7,13
North,2022,Soybean,830.89,5.43,4511.73,145.3,26.9,5.8,133.2,10
North,2020,Barley,422.72,1.94,820.08,139.7,28.1,6.24,74.3,17
East,2021,Barley,250.93,3,752.79,367.2,29.5,6.1,194.2,10
North,2023,Rice,182.77,5.18,946.75,369.3,34.8,5.98,159.9,14
South,2020,Barley,617.84,3.89,2403.4,239.8,24.4,6.47,57,3
South,2020,Soybean,980.29,5.24,5136.72,361,22.4,7.18,96,10
East,2021,Soybean,840.66,5.13,4312.59,300.2,32,5.98,57.5,5
South,2020,Wheat,492.26,5.54,2727.12,155.5,18.5,6.82,84.4,17
West,2020,Corn,582.96,1.59,926.91,198.7,15.7,6.01,93,11
South,2023,Barley,351.58,1.73,608.23,140.8,23.9,5.78,157.7,15
South,2023,Soybean,246.76,1.41,347.93,332.2,19.9,7.39,157.8,19
North,2023,Corn,533.87,5.68,3032.38,395.6,22.9,6.77,56.8,15
North,2022,Corn,517.15,3.38,1747.97,263.9,34.7,5.71,138.2,17
South,2021,Wheat,569.74,1.32,752.06,296.8,22,6.77,194.1,13
East,2023,Corn,957.52,2.61,2499.13,323.8,29.2,5.85,144.3,16
North,2022,Corn,643.51,2.76,1776.09,167.3,20,7.28,194.1,14
East,2022,Rice,645.19,5.05,3258.21,200.8,21.1,5.99,107.1,9
South,2021,Wheat,215.22,4.68,1007.23,223.7,19.9,7.11,119,6
South,2021,Wheat,996.84,4.45,4435.94,278.4,26.4,5.9,124.3,4
West,2020,Barley,795.56,1.11,883.07,355.1,19.5,6.62,188.6,10
North,2022,Corn,889.48,5.55,4936.61,176.3,29.4,7.32,107,2
South,2023,Barley,472.87,2.08,983.57,241.3,28.6,6.09,197.5,16
West,2021,Soybean,551.92,4.15,2290.47,325.5,23.4,5.66,131.5,18
North,2022,Corn,569.88,1.31,746.54,126.2,15.5,6.61,82.7,8
South,2023,Soybean,274.69,1.41,387.31,253.9,15.5,5.84,65.6,3
South,2022,Rice,720.54,1.05,756.57,143.3,25.7,6.96,75.9,14
North,2021,Corn,912.68,3.83,3495.56,261.7,31.8,6.68,55.9,8
North,2020,Barley,247.34,4.15,1026.46,330.3,27,6.19,153.8,15
North,2022,Barley,177.69,1.25,222.11,171.1,23.7,6.91,127.5,16
South,2023,Corn,764.4,2.45,1872.78,354.8,32.6,5.98,160.7,17
South,2021,Barley,345.88,5.26,1819.33,200.4,18.9,7.33,167.3,4
West,2020,Corn,661.48,1.51,998.83,157.2,22.2,6.19,189.7,4
East,2023,Wheat,726.18,2.08,1510.45,239.6,26.3,7.03,67.5,8
North,2023,Barley,389.72,3.12,1215.93,362.8,20.8,6.02,77.9,9
South,2023,Corn,833.63,5.21,4343.21,120.7,35,6.93,132.2,12
South,2022,Corn,594.99,2.27,1350.63,198.3,24,5.56,69.4,16
North,2021,Barley,882.1,5.99,5283.78,295.9,16,6.09,63.9,12
East,2023,Wheat,786.96,2.78,2187.75,207.3,18.5,5.69,150,6
North,2022,Barley,881.72,2.93,2583.44,121.2,25.6,6.4,158.7,19
East,2021,Corn,118.15,1.61,190.22,199.6,26,6.37,176.5,2
South,2021,Wheat,319.16,4.4,1404.3,346.3,34.7,6.22,187.4,0
East,2022,Soybean,181.01,2.22,401.84,390.4,27,7.46,116.4,9
West,2022,Rice,497.87,4.14,2061.18,111.9,28.3,5.99,197,14
South,2023,Barley,900.96,2.12,1910.04,270.8,19.3,7.08,55.7,12
West,2021,Corn,520.79,2.94,1531.12,131.6,17.1,6.39,180.5,16
North,2020,Wheat,864.74,5.28,4565.83,304.1,27,6.17,98.2,17
North,2022,Wheat,394.46,4.69,1850.02,102.4,32.3,5.91,188.3,9
North,2021,Soybean,405.61,1.77,717.93,104.4,26.7,6.77,83.4,19
East,2021,Barley,906.01,4.04,3660.28,333.1,23.9,6.17,161.1,8
South,2023,Wheat,483.24,4.14,2000.61,122.3,26.6,7.13,113.8,0
North,2020,Soybean,810.79,1.45,1175.65,191.6,24.4,7.44,107.2,11
North,2023,Corn,312.98,3.33,1042.22,387.4,17.8,5.95,58.9,10
South,2020,Soybean,953.92,2.3,2194.02,395.6,29.8,5.76,155.9,10
North,2020,Barley,617.12,3.34,2061.18,148.4,25.7,6.13,76.3,14
West,2022,Soybean,783.39,4.89,3830.78,268.3,23,6.43,119.4,19
South,2021,Wheat,180.56,1.79,323.2,267.7,26.2,6.1,71.2,13
South,2021,Wheat,543.4,1.62,880.31,235.7,19.8,7.44,140.7,8
South,2021,Rice,910.93,2.35,2140.69,377.4,23.6,7.06,84.7,1
West,2020,Soybean,889.33,5.76,5122.54,326.2,27.4,7.43,139.2,1
South,2021,Corn,142.13,4.74,673.7,329.4,19.5,6.25,192,15
West,2022,Barley,373.33,1.1,410.66,180.9,30,6.11,188.1,5
South,2020,Rice,498.99,3.01,1501.96,230.3,25.4,6.31,80.1,12
East,2020,Soybean,255.04,2.29,584.04,246.2,32.2,6.55,64.9,5
North,2020,Corn,757,4.19,3171.83,189.7,31.9,6.98,56.4,0
East,2020,Rice,266.06,3.3,878,128.4,24.9,7.26,174.3,12
North,2022,Wheat,411.98,5.82,2397.72,137.9,18.9,6.43,87.4,1
West,2021,Barley,696.95,2.09,1456.63,154.2,29.7,6.08,92.6,0
East,2022,Soybean,533.88,3.94,2103.49,161.1,23.4,6.14,83.9,0
South,2021,Corn,764.71,4.5,3441.2,172.7,26.9,6.89,176,10
North,2022,Wheat,965.09,5.13,4950.91,176.6,17.1,6.64,196.8,15
North,2023,Rice,204.89,3.03,620.82,236.7,27.6,6.47,163.3,8
East,2023,Barley,738.61,4.43,3272.04,252.9,22.5,5.91,173.5,6
West,2023,Rice,307.31,2.52,774.42,192.7,21.7,7.25,143.1,13
East,2023,Rice,473.03,3.18,1504.24,372.2,34.6,7.06,129.3,4
West,2020,Corn,129.58,5.48,710.1,265.9,23.6,5.78,158.2,18
West,2020,Wheat,222.32,5.75,1278.34,336.2,28.6,6.23,55.4,16
North,2022,Soybean,387.8,4.59,1780,377.3,27.6,6.58,59.2,7
East,2022,Corn,407.79,2.87,1170.36,148.9,17.1,6.41,153.1,3
East,2023,Barley,909.63,5.1,4639.11,228.4,30,6.3,100.3,1
West,2021,Rice,767.63,1.13,867.42,230,21.5,6.94,123.3,19
East,2023,Barley,974.96,1.51,1472.19,206.3,31,5.61,167.3,12
South,2022,Corn,639.16,4.31,2754.78,102.7,27.2,6.44,136.6,19
South,2023,Corn,317.54,2.46,781.15,344.8,21.3,6.02,170.8,5
East,2022,Soybean,394.89,5.76,2274.57,133.5,22.1,5.67,112.9,17
East,2023,Rice,387.85,3.18,1233.36,398.6,29.6,6.43,93.1,4
West,2021,Corn,393.84,3.15,1240.6,331.9,26,5.84,85.2,11
South,2023,Barley,705.67,4.39,3097.89,274,28.4,6.02,69.8,18
South,2021,Soybean,577.73,4.84,2796.21,146.4,18.2,6.51,55.5,19
North,2021,Barley,446.88,3.38,1510.45,254.6,30.7,7.45,58,18
West,2022,Rice,234.18,2.07,484.75,178.3,21.4,6.87,90.6,14
North,2021,Soybean,119.93,4.87,584.06,175.7,27.4,6.06,91.8,6
South,2020,Soybean,296.95,2.6,772.07,348.9,17.3,6.26,107.3,18
West,2020,Soybean,196.72,1.88,369.83,214.2,21.4,6.31,138.7,2
East,2020,Wheat,806.9,4.16,3356.7,235.2,28,5.81,163.9,0
West,2022,Soybean,201.25,1.45,291.81,352.9,20.5,5.82,79.7,9
East,2020,Barley,751.81,5.86,4405.61,126.3,32.6,5.8,163.9,3
East,2022,Barley,447.09,4.16,1859.89,278.4,28.2,6.54,70.8,15
West,2022,Rice,166.04,5.93,984.62,273.5,32.4,6.85,198.3,11
East,2020,Corn,831.46,2.69,2236.63,227.6,22.9,6.68,92.8,9
North,2021,Corn,621.67,5.86,3642.99,348.9,15.7,7.46,175.6,2
South,2023,Wheat,312.19,1.73,540.09,382.9,26.5,5.75,78.6,7
East,2022,Soybean,905.21,1.2,1086.25,239.6,21.8,7.47,192.6,4
North,2020,Wheat,140.73,1.16,163.25,236.8,24,6.43,174,15
East,2022,Rice,281.64,3.32,935.04,250.6,28.6,5.94,103.9,3
South,2021,Rice,776.84,1.42,1103.11,316.9,29,7.39,113.2,15
North,2021,Corn,738.44,3.56,2628.85,300.4,15.6,6.44,50.6,2
South,2020,Rice,360.34,2.64,951.3,166.9,30.4,6.19,87.7,3
South,2022,Soybean,155.82,2.68,417.6,119.2,24.9,5.93,93.4,15
North,2023,Barley,872.27,4.18,3646.09,384.8,26.1,6.04,117.9,4
North,2023,Rice,382.33,1.82,695.84,178.3,21,7.46,70.9,17
North,2022,Wheat,276.14,4.83,1333.76,291.6,23.4,6.11,121.8,19
West,2022,Soybean,564.46,3.91,2207.04,348.5,29.2,7.46,150.3,7
North,2022,Rice,919.2,5.57,5119.94,190.1,30.5,6.16,105.7,7
North,2020,Rice,139.19,2.82,392.52,290.6,22.7,5.96,84.8,6
North,2021,Soybean,789.22,5.91,4664.29,132.4,28.8,5.87,132.2,9
North,2023,Rice,615.23,3.88,2387.09,391,20.2,6.32,54.4,1
East,2020,Barley,482.9,5.87,2834.62,117.4,31.6,5.97,101.1,19
West,2022,Corn,769.67,1.14,877.42,231.5,27.2,6.89,129.1,5
South,2022,Soybean,969.24,4.64,4497.27,261,30.5,5.98,100.4,14
North,2021,Wheat,306.29,5.08,1555.95,337.1,24.5,7.17,101.8,13
